ssno,year,name,v01a,v02a,v03a,v04a,v05a,v06a,v07a,v08a,v09a,v10a,v11a,v12a,v13a,v14a,v15a,v01b,v02b,v03b,v04b,v05b,v06b,v07b,v08b,v09b,v10b,v11b,v12b,v13b,v14b,v15b,v01c,v02c,v03c,v04c,v05c,v06c,v07c,v08c,v09c,v10c,v11c,v12c,v13c,v14c,v15c,v01d,v02d,v03d,v04d,v05d,gsstrel,alstreln,gsnstrel,alnsreln,gsantrel,gsstetn,alstetnn,gsnstetn,alnsetnn,gsantetn
2,1945,United States of America, ,23, , , ,84,7,10,2,2,87,26,12,2,2,89,23,5,90,2,88,7,7,2,2,89,26,11,2,2,79,23,4,90,1, , , , , ,90,26,10,2,2,84,23,4.5,90,1.5,86,7,8.5,2,2,88.6666666666667,26,11,2,2
2,1946,United States of America, ,23, , , ,84,7,10,2,2,87,26,12,2,2,89,23,5,90,2,88,7,7,2,2,89,26,11,2,2,79,23,4,90,1, , , , , ,90,26,10,2,2,84,23,4.5,90,1.5,86,7,8.5,2,2,88.6666666666667,26,11,2,2
2,1947,United States of America, ,23, , , ,84,7,10,2,2,87,26,12,2,2,89,23,5,90,2,88,7,7,2,2,89,26,11,2,2,79,23,4,90,1, , , , , ,90,26,10,2,2,84,23,4.5,90,1.5,86,7,8.5,2,2,88.6666666666667,26,11,2,2
2,1948,United States of America, ,23, , , ,84,7,10,2,2,87,26,12,2,2,89,23,5,90,2,88,7,7,2,2,89,26,11,2,2,79,23,4,90,1, , , , , ,90,26,10,2,2,84,23,4.5,90,1.5,86,7,8.5,2,2,88.6666666666667,26,11,2,2
2,1949,United States of America, ,23, , , ,84,7,10,2,2,87,26,12,2,2,89,23,5,90,2,88,7,7,2,2,89,26,11,2,2,79,23,4,90,1, , , , , ,90,26,10,2,2,84,23,4.5,90,1.5,86,7,8.5,2,2,88.6666666666667,26,11,2,2
2,1950,United States of America, ,23, , , ,84,7,10,2,2,87,26,12,2,2,89,23,5,90,2,88,7,7,2,2,89,26,11,2,2,79,23,4,90,1, , , , , ,90,26,10,2,2,84,23,4.5,90,1.5,86,7,8.5,2,2,88.6666666666667,26,11,2,2
2,1951,United States of America, ,23, , , ,84,7,10,2,2,87,26,12,2,2,89,23,5,90,2,88,7,7,2,2,89,26,11,2,2,79,23,4,90,1, , , , , ,88,26,11,2,2,84,23,4.5,90,1.5,86,7,8.5,2,2,88,26,11,2,2
2,1952,United States of America, ,23, , , ,84,7,10,2,2,87,26,12,2,2,89,23,5,90,2,88,7,7,2,2,89,26,11,2,2,79,23,4,90,1, , , , , ,88,26,11,2,2,84,23,4.5,90,1.5,86,7,8.5,2,2,88,26,11,2,2
2,1953,United States of America, ,23, , , ,84,7,10,2,2,87,26,12,2,2,89,23,5,90,2,88,7,7,2,2,89,26,11,2,2,79,23,4,90,1, , , , , ,88,26,11,2,2,84,23,4.5,90,1.5,86,7,8.5,2,2,88,26,11,2,2
2,1954,United States of America, ,23, , , ,84,7,10,2,2,87,26,12,2,2,89,23,5,90,2,88,7,7,2,2,89,26,11,2,2,79,23,4,90,1, , , , , ,88,26,11,2,2,84,23,4.5,90,1.5,86,7,8.5,2,2,88,26,11,2,2
2,1955,United States of America, ,23, , , ,84,7,10,2,2,87,26,12,2,2,89,23,5,90,2,88,7,7,2,2,89,26,11,2,2,79,23,4,90,1, , , , , ,88,26,11,2,2,84,23,4.5,90,1.5,86,7,8.5,2,2,88,26,11,2,2
2,1956,United States of America, ,23, , , ,84,7,10,2,2,87,26,12,2,2,89,23,5,90,2,88,7,7,2,2,89,26,11,2,2,79,23,4,90,1, , , , , ,88,26,11,2,2,84,23,4.5,90,1.5,86,7,8.5,2,2,88,26,11,2,2
2,1957,United States of America, ,23, , , ,84,7,10,2,2,87,26,12,2,2,89,23,5,90,2,88,7,7,2,2,89,26,11,2,2,79,23,4,90,1, , , , , ,88,26,11,2,2,84,23,4.5,90,1.5,86,7,8.5,2,2,88,26,11,2,2
2,1958,United States of America, ,23, , , ,84,7,10,2,2,87,26,12,2,2,89,23,5,90,2,88,7,7,2,2,89,26,11,2,2,79,23,4,90,1, , , , , ,88,26,11,2,2,84,23,4.5,90,1.5,86,7,8.5,2,2,88,26,11,2,2
2,1959,United States of America, ,23, , , ,84,7,10,2,2,87,26,12,2,2,89,23,5,90,2,88,7,7,2,2,89,26,11,2,2,79,23,4,90,1, , , , , ,88,26,11,2,2,84,23,4.5,90,1.5,86,7,8.5,2,2,88,26,11,2,2
