ABBREV,YEAR,ATHPC
USA,1790,0
USA,1791,0
USA,1792,0
USA,1793,0
USA,1794,0
USA,1795,0
USA,1796,0
USA,1797,0
USA,1798,0
USA,1799,0
USA,1800,0
USA,1801,0
USA,1802,0
USA,1803,0
USA,1804,0
USA,1805,0
USA,1806,0
USA,1807,0
USA,1808,0
USA,1809,0
USA,1810,0
USA,1811,0
USA,1812,0
USA,1813,0
USA,1814,0
USA,1815,0
USA,1816,0
USA,1817,0
USA,1818,0
USA,1819,0
USA,1820,0
USA,1821,0
USA,1822,0
USA,1823,0
USA,1824,0
USA,1825,0
USA,1826,0
USA,1827,0
USA,1828,0
USA,1829,0
USA,1830,0
USA,1831,0
USA,1832,0
USA,1833,0
USA,1834,0
USA,1835,0
USA,1836,0
USA,1837,0
USA,1838,0
USA,1839,0
USA,1840,0
USA,1841,0
USA,1842,0
USA,1843,0
USA,1844,0
USA,1845,0
USA,1846,0
USA,1847,0
USA,1848,1.80E-05
USA,1849,3.50E-05
USA,1850,5.53E-05
USA,1851,7.83E-05
USA,1852,0.000103503
USA,1853,0.000130525
USA,1854,0.000155394
USA,1855,0.000178331
USA,1856,0.000203049
USA,1857,0.000229501
USA,1858,0.000254496
USA,1859,0.000278421
USA,1860,0.000304718
USA,1861,0.000330328
USA,1862,0.000355949
USA,1863,0.000379188
USA,1864,0.000406337
USA,1865,0.000429409
USA,1866,0.000454728
USA,1867,0.000479562
USA,1868,0.000506882
USA,1869,0.000530387
USA,1870,0.000555274
USA,1871,0.000581522
USA,1872,0.000606238
USA,1873,0.000631906
USA,1874,0.000656136
USA,1875,0.000681274
USA,1876,0.000707236
USA,1877,0.000731822
USA,1878,0.000757195
USA,1879,0.000781261
USA,1880,0.000808052
USA,1881,0.000831574
USA,1882,0.000857693
USA,1883,0.000882534
USA,1884,0.000907967
USA,1885,0.000932177
USA,1886,0.000956951
USA,1887,0.000982238
USA,1888,0.001007987
USA,1889,0.001032537
USA,1890,0.001057527
USA,1891,0.001082915
USA,1892,0.001108658
USA,1893,0.001133226
USA,1894,0.001158132
USA,1895,0.001183339
USA,1896,0.00120881
USA,1897,0.001233131
USA,1898,0.001259132
USA,1899,0.001283776
USA,1900,0.001309055
USA,1901,0.001626733
USA,1902,0.001938626
USA,1903,0.00224676
USA,1904,0.002552946
USA,1905,0.002856462
USA,1906,0.00315891
USA,1907,0.003462878
USA,1908,0.003767396
USA,1909,0.004074824
USA,1910,0.004384102
USA,1911,0.004698461
USA,1912,0.005017772
USA,1913,0.005342921
USA,1914,0.005673705
USA,1915,0.006011909
USA,1916,0.006359197
USA,1917,0.006715169
USA,1918,0.007081343
USA,1919,0.007458186
USA,1920,0.00784611
USA,1921,0.008248246
USA,1922,0.008662981
USA,1923,0.009093248
USA,1924,0.009539133
USA,1925,0.010001554
USA,1926,0.010483083
USA,1927,0.010983546
USA,1928,0.011504425
USA,1929,0.012047912
USA,1930,0.012614386
USA,1931,0.013205778
USA,1932,0.013823051
USA,1933,0.014468645
USA,1934,0.015144016
USA,1935,0.015850464
USA,1936,0.016590672
USA,1937,0.017364817
USA,1938,0.018176707
USA,1939,0.019028364
USA,1940,0.019920137
USA,1941,0.020856535
USA,1942,0.021838866
USA,1943,0.022868915
USA,1944,0.023950979
USA,1945,0.025086915
USA,1946,0.026279643
USA,1947,0.027532391
USA,1948,0.028848659
USA,1949,0.030230891
USA,1950,0.031683061
USA,1951,0.033808321
USA,1952,0.035942726
USA,1953,0.038098913
USA,1954,0.040293194
USA,1955,0.042540714
USA,1956,0.044859216
USA,1957,0.047266845
USA,1958,0.049781349
USA,1959,0.052423228
USA,1960,0.055209968
USA,1961,0.058161996
USA,1962,0.061298639
USA,1963,0.064638563
USA,1964,0.068202175
USA,1965,0.072007753
USA,1966,0.076078661
USA,1967,0.080434695
USA,1968,0.08508534
USA,1969,0.0900345
USA,1970,0.095287599
USA,1971,0.097324014
USA,1972,0.099663489
USA,1973,0.102341361
USA,1974,0.105389878
USA,1975,0.108842313
USA,1976,0.112729728
USA,1977,0.117088161
USA,1978,0.121960871
