"Data Source","World Development Indicators",

"Last Updated Date","2020-04-09",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2180004119873","24.1609992980957","23.9069995880127","23.6389999389648","23.9969997406006","23.988000869751","24.0410003662109","24.1410007476807","24.2269992828369","24.25","24.1900005340576","25.2630004882813","25.6110000610352","25.7819995880127","26.2269992828369","26.6870002746582","27.5310001373291","28.2280006408691","29.5939998626709","30.923999786377","31.8309993743896","33.0340003967285","34.0480003356934","34.9440002441406","35.8440017700195","36.8689994812012","37.9850006103516","38.5369987487793","38.9990005493164",
"Angola","AGO","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.5089988708496","51.5589981079102","51.5629997253418","51.7140007019043","52.0919990539551","52.4869995117188","52.851001739502","53.1839981079102","53.4339981079102","53.75","54.0999984741211","54.6139984130859","54.7529983520508","54.7379989624023","52.9620018005371","51.1570014953613","49.3419990539551","47.560001373291","45.742000579834","43.2550010681152","40.8190002441406","40.5309982299805","40.5180015563965","40.6040000915527","40.7719993591309","40.8530006408691","41.0709991455078","41.2750015258789","41.4980010986328",
"Albania","ALB","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.3010005950928","31.2129993438721","31.7080001831055","32.1990013122559","32.6349983215332","33.4189987182617","32.9860000610352","33.7859992980957","34.5110015869141","35.0099983215332","35.5900001525879","35.8310012817383","36.3269996643066","36.7210006713867","37.015998840332","37.2309989929199","37.4560012817383","37.5660018920898","36.007999420166","37.3230018615723","35.7470016479492","36.6640014648438","38.923999786377","39.5839996337891","40.0200004577637","41.2400016784668","42.4440002441406","42.9360008239746","43.3040008544922",
"Andorra","AND","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.8779315793281","43.5918271199863","44.4993621922807","44.7923269351657","45.5882235892105","46.144912555916","46.7943102143893","47.490155779188","48.0701485069428","48.4163804738862","49.0683156179442","50.0056356323458","50.0534570443208","49.8145037215863","50.0985602062204","50.3505683428891","50.3674316189073","50.5153068914397","51.0655456091311","51.4425991748497","52.1345679542621","52.6629720108365","52.907394554585","53.2290213044836","53.8000975946865","54.0319044269149","54.3381756677411","54.7151744126814","54.9923389286375",
"United Arab Emirates","ARE","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.1549987792969","58.1759986877441","58.1220016479492","58.2879981994629","58.3709983825684","58.5349998474121","58.4500007629395","58.3549995422363","58.6230010986328","58.7210006713867","59.1030006408691","59.632999420166","59.7639999389648","59.9780006408691","60.0139999389648","59.6349983215332","59.2389984130859","58.9799995422363","58.7249984741211","59.4230003356934","60.3009986877441","61.0750007629395","61.6860008239746","62.1959991455078","62.3549995422363","63.0149993896484","63.7620010375977","63.9389991760254","64.2310028076172",
"Argentina","ARG","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.7539978027344","67.2440032958984","69.8290023803711","70.9509963989258","72.286003112793","74.234001159668","73.6449966430664","74.3379974365234","75.5790023803711","76.5469970703125","77.1500015258789","78.7959976196289","76.8089981079102","75.8109970092773","75.4599990844727","75.2760009765625","74.9680023193359","74.7839965820313","75.5800018310547","75.3870010375977","75.3929977416992","75.7279968261719","75.4349975585938","75.2939987182617","76.0609970092773","76.931999206543","77.5039978027344","77.9940032958984","78.4970016479492",
"Armenia","ARM","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.6180000305176","37.3450012207031","37.4889984130859","37.6889991760254","38.0429992675781","38.4879989624023","38.8330001831055","39.5449981689453","39.976001739502","40.3860015869141","41.1730003356934","41.826000213623","42.4869995117188","43.064998626709","43.5639991760254","43.9500007629395","44.5","44.0369987487793","43.4659996032715","43.9900016784668","44.3870010375977","45.0709991455078","46.7210006713867","48.4459991455078","48.7610015869141","50.617000579834","51.9480018615723","52.6790008544922","53.1870002746582",
"American Samoa","ASM","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
