"IDX","Variable","Label","Type","Length","Categories","Theme"
"001_001","A001","Important in life: Family",NA,2,"1:Very important
2:Rather important
3:Not very important
4:Not at all important
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
","Perceptions of life"
"001_001_001","A001_CO","Family important",NA,2,"1:Very important
2:Important
3:Not at all important
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
","Perceptions of life"
"001_002","A002","Important in life: Friends",NA,2,"1:Very important
2:Rather important
3:Not very important
4:Not at all important
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
","Perceptions of life"
"001_002_001","A002_CO","Friends important",NA,2,"1:Very important
2:Important
3:Not at all important
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
","Perceptions of life"
"001_003","A003","Important in life: Leisure time",NA,2,"-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
1:Very important
2:Rather important
3:Not very important
4:Not at all important
","Perceptions of life"
"001_003_001","A003_CO","Leisure time",NA,2,"1:Very important
2:Important
3:Not at all important
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
","Perceptions of life"
"001_004","A004","Important in life: Politics",NA,2,"1:Very important
2:Rather important
3:Not very important
4:Not at all important
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
","Perceptions of life"
"001_004_001","A004_CO","Politics important",NA,2,"1:Very important
2:Important
3:Not at all important
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
","Perceptions of life"
"001_005","A005","Important in life: Work",NA,2,"1:Very important
2:Rather important
3:Not very important
4:Not at all important
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
","Perceptions of life"
"001_005_001","A005_CO","Work important",NA,2,"1:Very important
2:Important
3:Not at all important
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
","Perceptions of life"
"001_006","A006","Important in life: Religion",NA,2,"-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
1:Very important
2:Rather important
3:Not very important
4:Not at all important
","Perceptions of life"
"001_006_001","A006_CO","Religion important",NA,2,"1:Very important
2:Important
3:Not at all important
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
","Perceptions of life"
"001_007","A007","Service to others important in life",NA,2,"1:Very important
2:Rather important
3:Not very important
4:Not at all important
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
","Perceptions of life"
