S003,S003A,S012,S020,S025,A006,A006_CO,S025A
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
32,32,-4,1984,321984,-4,-4,321984
